model,checkpoint,condition,person_ap,person_ap50,person_ap75,person_ar100,person_recall_iou50_conf025,person_recall_iou75_conf025,precision_iou50_conf025,f1_iou50_conf025,mean_matched_iou,mean_gt_iou_with_misses,fp_per_image_conf025,failure_rate
proposed_v1,best_seen_map,seen,0.49822214939202597,0.729097306025642,0.5273472183368143,0.6267699730908416,0.6857506361323156,0.5449836423118866,0.6664900194311959,0.6759831586491086,0.8390113711357117,0.5780084133148193,0.7625201938610663,0.01572112098427888
proposed_v1,best_seen_map,unseen,0.4871449547713653,0.7354340525738409,0.511434129492932,0.6141597847267329,0.6710287168302436,0.5246274082151945,0.6952264381884945,0.6829132947976879,0.8324500918388367,0.5617355704307556,0.653675282714055,0.020369104579630894
proposed_v2,best_clean_map,clean,0.5255262588856459,0.7681124449296903,0.5606705201343227,0.6432959079521201,0.6706652126499455,0.5407124681933843,0.7379262073792621,0.7026898357533921,0.8433444499969482,0.5687633752822876,0.529281098546042,
proposed_v2,best_clean_map,seen,0.5119703997407241,0.7462284487177295,0.5446158435397425,0.6371624756425722,0.6611232279171211,0.5329880043620502,0.7000577367205543,0.6800336511497476,0.8436965346336365,0.5611549615859985,0.6294426494345718,0.02940379403794038
proposed_v2,best_clean_map,unseen,0.5146755469604171,0.7487476942882445,0.5483193538452004,0.6383130741393709,0.6643947655398037,0.5362595419847328,0.702507927356587,0.6829199943954043,0.8440415859222412,0.5638357400894165,0.6252019386106623,0.027642276422764227
proposed_v2,best_seen_map,clean,0.5253079996950324,0.7668815769249941,0.5607143562257053,0.6413287556833998,0.6657579062159215,0.5385314431115957,0.7472460220318238,0.7041522491349481,0.8442114591598511,0.5650414824485779,0.5004038772213247,
proposed_v2,best_seen_map,seen,0.5119664747815036,0.7457001866468999,0.5453211175385277,0.6358170177229285,0.655852417302799,0.5308978553253363,0.7099852434825381,0.6818460957059851,0.8444772362709045,0.5572062730789185,0.5953150242326333,0.02962052962052962
proposed_v2,best_seen_map,unseen,0.5145849290832049,0.7490693670941857,0.5485120302776357,0.6362438526491603,0.6590330788804071,0.5338967648127954,0.7140606538007089,0.6854442344045368,0.8449589014053345,0.5600442290306091,0.5864297253634895,0.028665028665028666
proposed_v3,best_clean_map,clean,0.5239078096550726,0.7652279587391486,0.5584690105457087,0.6413751507840771,0.6712104689203926,0.542257360959651,0.7359505779194898,0.7020912547528517,0.8429763913154602,0.5691113471984863,0.5351373182552503,
proposed_v3,best_clean_map,seen,0.5288400304970975,0.7622885512569023,0.5651843418717306,0.645309455321518,0.6778444202108325,0.5509814612868048,0.7137116065448282,0.6953157772081099,0.8461582064628601,0.5768371820449829,0.6042003231017771,0.017600866504197128
proposed_v3,best_clean_map,unseen,0.534884815368552,0.7654279193925109,0.5720564244765738,0.6483344158856824,0.6837513631406761,0.5600690657942566,0.7136488665465237,0.6983802849584629,0.8479451537132263,0.5831958055496216,0.6096526655896607,0.017465475223395612
proposed_v3,best_seen_map,clean,0.5230799460125458,0.7642296875690768,0.5576704968530128,0.6402895054282267,0.6703017084696474,0.5415303525990549,0.7359074129502146,0.7015741665477719,0.8429813385009766,0.5683485865592957,0.5345315024232633,
proposed_v3,best_seen_map,seen,0.52851909793674,0.7611720582281047,0.5648777684102694,0.6448547833348798,0.6775717920756089,0.5507088331515813,0.7138343705122068,0.6952305468786424,0.8461456894874573,0.5765979886054993,0.60359450726979,0.01762472885032538
proposed_v3,best_seen_map,unseen,0.5343488639680544,0.764225016057224,0.5716232378345876,0.6477776746775541,0.683387858960378,0.5597055616139586,0.7136756192464648,0.6982034260247899,0.8479411602020264,0.5828847885131836,0.6092487883683361,0.01762472885032538
